# LuxStage Venue Template — Format Version: 1.0
venue_name;Theater Magdeburg
venue_hall;K1
---
channel_number;address;device;color;description;category
1;1/121;VK Bühne unten Lks;NC;;Versatz Bühne hinten links
2;1/122;VK Bühne unten Lks;NC;;Versatz Bühne hinten links
3;1/123;VK Bühne unten Lks;NC;;Versatz Bühne hinten links
4;1/124;VK Bühne unten Lks;NC;;Versatz Bühne hinten links
5;1/125;VK Bühne unten Lks;NC;;Versatz Bühne hinten links
6;1/126;VK Bühne unten Lks;NC;;Versatz Bühne hinten links
7;1/145;5 KW;NC;;Versatz Bühne hinten links
9;1/127;VK Bühne unten Rs;NC;;Versatz Bühne hinten rechts
10;1/128;VK Bühne unten Rs;NC;;Versatz Bühne hinten rechts
11;1/129;VK Bühne unten Rs;NC;;Versatz Bühne hinten rechts
12;1/130;VK Bühne unten Rs;NC;;Versatz Bühne hinten rechts
13;1/131;VK Bühne unten Rs;NC;;Versatz Bühne hinten rechts
14;1/132;VK Bühne unten Rs;NC;;Versatz Bühne hinten rechts
15;1/146;5 KW;NC;;Versatz Bühne hinten rechts
17;1/133;VK Bühne Bodentank links und rechts;NC;;Versatzklappe Bühne links und rechts
18;1/134;VK Bühne Bodentank links und rechts;NC;;Versatzklappe Bühne links und rechts
19;1/135;VK Bühne Bodentank links und rechts;NC;;Versatzklappe Bühne links und rechts
20;1/136;VK Bühne Bodentank links und rechts;NC;;Versatzklappe Bühne links und rechts
21;1/137;VK Bühne Bodentank links und rechts;NC;;Versatzklappe Bühne links und rechts
22;1/138;VK Bühne Bodentank links und rechts;NC;;Versatzklappe Bühne links und rechts
23;1/115;VK I-Pult Hölzerner;NC;;Unterbühne Mitte bzw. I-Pult an Treppe
24;1/116;VK I-Pult Hölzerner;NC;;Unterbühne Mitte bzw. I-Pult an Treppe
25;1/117;VK I-Pult Hölzerner;NC;;Unterbühne Mitte bzw. I-Pult an Treppe
26;1/118;VK I-Pult Hölzerner;NC;;Unterbühne Mitte bzw. I-Pult an Treppe
27;1/119;VK I-Pult Hölzerner;NC;;Unterbühne Mitte bzw. I-Pult an Treppe
28;1/120;VK I-Pult Hölzerner;NC;;Unterbühne Mitte bzw. I-Pult an Treppe
36;1/25;VK I-Pult (SD);NC;;Versatz I-Pult links
37;1/26;VK I-Pult (SD);NC;;Versatz I-Pult links
38;1/27;VK I-Pult (SD);NC;;Versatz I-Pult links
39;1/28;VK I-Pult (SD);NC;;Versatz I-Pult links
40;1/29;VK I-Pult (SD);NC;;Versatz I-Pult links
41;1/30;VK I-Pult (SD);NC;;Versatz I-Pult links
42;1/34;VK FW-Platz;NC;;Versatz FW-Platz rechts
43;1/35;VK FW-Platz;NC;;Versatz FW-Platz rechts
44;1/36;VK FW-Platz;NC;;Versatz FW-Platz rechts
45;1/37;VK FW-Platz;NC;;Versatz FW-Platz rechts
46;1/38;VK FW-Platz;NC;;Versatz FW-Platz rechts
47;1/39;VK FW-Platz;NC;;Versatz FW-Platz rechts
48;1/31;VK Portal Lks;NC;;Portal Lks
49;1/32;VK Portal Lks;NC;;Portal Lks
50;1/33;VK Portal Lks;NC;;Portal Lks
623;2/193;Flat Pro Outdoor Par Can 8ch;NC;;Portal Lks
51;1/40;VK Portal Rs;NC;;Portal Rs
52;1/41;VK Portal Rs;NC;;Portal Rs
53;1/42;VK Portal Rs;NC;;Portal Rs
626;2/217;Flat Pro Outdoor Par Can 8ch;NC;;Portal Rs
101;1/1;1,2kW Profil;NC;;Brücke
102;1/2;2kW F;NC;;Brücke
103;1/3;2kW F;NC;;Brücke
104;1/4;2kW F;NC;;Brücke
105;1/5;1,2kW PC;NC;;Brücke
106;1/6;1,2kW PC;NC;;Brücke
107;1/43;1,2kW Profil;NC;;Brücke
108;1/44;2kW F;NC;;Brücke
109;1/45;1,2kW Profil;NC;;Brücke
671;2/355;Retro Flat Par 18x10W RGBWAUV 8ch;NC;;Brücke
110;1/7;2kW F;NC;;Brücke
111;1/8;1,2kW PC;NC;;Brücke
112;1/9;1,2kW PC;NC;;Brücke
113;1/10;2kW F;NC;;Brücke
114;1/11;2kW F;NC;;Brücke
115;1/12;2kW F;NC;;Brücke
116;1/13;1,2kW PC;NC;;Brücke
117;1/14;1,2kW PC;NC;;Brücke
118;1/15;1,2kW Profil;NC;;Brücke
131;1/49;2kW PC;NC;;1. Galerie links
132;1/50;2kW PC;NC;;1. Galerie links
133;1/51;2kW PC;NC;;1. Galerie links
134;1/52;2x PAR;NC;;1. Galerie links
135;1/53;2x PAR;NC;;1. Galerie links
136;1/54;Profil;NC;;1. Galerie links
137;1/46;Dimmer;NC;;Bar 1. Galerie hinten links
138;1/47;Dimmer;NC;;Bar 1. Galerie hinten links
139;1/48;Dimmer;NC;;Bar 1. Galerie hinten links
140;1/22;Dimmer;NC;;Bar 1. Galerie hinten links
141;1/23;Dimmer;NC;;Bar 1. Galerie hinten links
142;1/24;Dimmer;NC;;Bar 1. Galerie hinten links
143;1/139;Dimmer;NC;;Bar 1. Galerie hinten rechts
144;1/140;Dimmer;NC;;Bar 1. Galerie hinten rechts
145;1/141;Dimmer;NC;;Bar 1. Galerie hinten rechts
146;1/142;Dimmer;NC;;Bar 1. Galerie hinten rechts
147;1/143;Dimmer;NC;;Bar 1. Galerie hinten rechts
148;1/144;Dimmer;NC;;Bar 1. Galerie hinten rechts
149;1/55;Dimmer;NC;;1. Galerie rechts
150;1/56;Dimmer;NC;;1. Galerie rechts
151;1/57;Dimmer;NC;;1. Galerie rechts
153;1/59;Dimmer;NC;;1. Galerie rechts
154;1/60;Dimmer;NC;;1. Galerie rechts
161;1/61;Dimmer;NC;;2. Galerie
162;1/62;Dimmer;NC;;2. Galerie
163;1/63;Dimmer;NC;;2. Galerie
164;1/64;Dimmer;NC;;2. Galerie
165;1/65;Dimmer;NC;;2. Galerie
166;1/66;Dimmer;NC;;2. Galerie
167;1/67;Dimmer;NC;;2. Galerie
168;1/68;Dimmer;NC;;2. Galerie
169;1/69;Dimmer;NC;;2. Galerie
170;1/70;Dimmer;NC;;2. Galerie
171;1/71;Dimmer;NC;;2. Galerie
172;1/72;Dimmer;NC;;2. Galerie
181;1/79;Dimmer;NC;;Versatz 2. Galerie oder MZ
182;1/80;Dimmer;NC;;Versatz 2. Galerie oder MZ
183;1/81;Dimmer;NC;;Versatz 2. Galerie oder MZ
184;1/82;Dimmer;NC;;Versatz 2. Galerie oder MZ
185;1/83;Dimmer;NC;;Versatz 2. Galerie oder MZ
186;1/84;Dimmer;NC;;Versatz 2. Galerie oder MZ
187;1/73;Dimmer;NC;;Versatz 2. Galerie oder MZ
188;1/74;Dimmer;NC;;Versatz 2. Galerie oder MZ
189;1/75;Dimmer;NC;;Versatz 2. Galerie oder MZ
190;1/76;Dimmer;NC;;Versatz 2. Galerie oder MZ
191;1/77;Dimmer;NC;;Versatz 2. Galerie oder MZ
192;1/78;Dimmer;NC;;Versatz 2. Galerie oder MZ
193;1/147;5 KW;NC;;Versatz VB
194;1/463;Dimmer;NC;;Versatz VB
195;1/148;5 KW;NC;;Versatz VB
196;1/476;Dimmer;NC;;Versatz VB
201;1/97;Dimmer;NC;;2kW F Saal
202;1/98;Dimmer;NC;;2kW F Saal
203;1/99;Dimmer;NC;;2kW F Saal
204;1/100;Dimmer;NC;;2kW F Saal
205;1/101;Dimmer;NC;;2kW F Saal
206;1/102;Dimmer;NC;;2kW F Saal
207;1/149;5 KW;NC;;2kW F Saal
208;1/103;Dimmer;NC;;2kW F Saal
209;1/104;Dimmer;NC;;2kW F Saal
210;1/105;Dimmer;NC;;2kW F Saal
211;1/106;Dimmer;NC;;2kW F Saal
212;1/107;Dimmer;NC;;2kW F Saal
213;1/108;Dimmer;NC;;2kW F Saal
214;1/150;5 KW;NC;;2kW F Saal
221;1/151;Dimmer;NC;;Selecon
222;1/152;Dimmer;NC;;Selecon
223;1/153;Dimmer;NC;;Selecon
