# LuxStage Venue Template — Format Version: 1.0
# Theatre: Stadttheater Beispiel
# This file defines the fixed installation of your venue.
# Lines starting with # are comments and will be ignored.
# Upload this file in the Einleuchtplan app under Templates > Upload CSV.

venue_name;Stadttheater Beispiel
venue_hall;Großes Haus

# Custom fields — filled in per show (define as many as you need):
# Syntax: show_field;<field name>;<optional hint>
show_field;Portalbrücke;Einheit: m
show_field;Portale links;Einheit: m
show_field;Portale rechts;Einheit: m
show_field;SB-Tor;Einheit: m
show_field;Bemerkungen;Freitext

---
# Channel patch — one row per channel.
# Required columns: channel_number, address
# address format: Universe/Channel  (e.g. 1/001 = Universe 1, DMX channel 1)
# Optional columns: device, color, description, category
# Column order does not matter. Unknown columns are ignored.
channel_number;address;device;color;description;category
1;1/001;ETC Source4 19°;R02;Frontlicht links;Frontlicht
2;1/002;ETC Source4 19°;R02;Frontlicht Mitte links;Frontlicht
3;1/003;ETC Source4 19°;R02;Frontlicht Mitte rechts;Frontlicht
4;1/004;ETC Source4 19°;R02;Frontlicht rechts;Frontlicht
5;1/005;ETC Source4 26°;;Gegenlicht links;Gegenlicht
6;1/006;ETC Source4 26°;;Gegenlicht Mitte;Gegenlicht
7;1/007;ETC Source4 26°;;Gegenlicht rechts;Gegenlicht
8;1/008;ETC Source4 36°;L201;Oberlicht 1 links;Oberlicht
9;1/009;ETC Source4 36°;L201;Oberlicht 1 Mitte;Oberlicht
10;1/010;ETC Source4 36°;L201;Oberlicht 1 rechts;Oberlicht
11;1/011;ETC Source4 36°;;Oberlicht 2 links;Oberlicht
12;1/012;ETC Source4 36°;;Oberlicht 2 Mitte;Oberlicht
13;1/013;ETC Source4 36°;;Oberlicht 2 rechts;Oberlicht
14;1/014;ETC Source4 19°;R09;Seitenlicht links vorne;Seitenlicht
15;1/015;ETC Source4 19°;R09;Seitenlicht links Mitte;Seitenlicht
16;1/016;ETC Source4 19°;R09;Seitenlicht links hinten;Seitenlicht
17;1/017;ETC Source4 19°;R51;Seitenlicht rechts vorne;Seitenlicht
18;1/018;ETC Source4 19°;R51;Seitenlicht rechts Mitte;Seitenlicht
19;1/019;ETC Source4 19°;R51;Seitenlicht rechts hinten;Seitenlicht
20;1/020;Robe MegaPointe;;Moving 1;Moving Light
21;1/021;Robe MegaPointe;;Moving 2;Moving Light
22;1/022;Robe MegaPointe;;Moving 3;Moving Light
23;1/023;Robe MegaPointe;;Moving 4;Moving Light
24;2/001;Cameo ZENIT W600;;;LED-Wash
25;2/002;Cameo ZENIT W600;;;LED-Wash
26;2/003;Cameo ZENIT W600;;;LED-Wash
27;2/004;Cameo ZENIT W600;;;LED-Wash
28;2/005;;;;Reserve
29;2/006;;;;Reserve
30;2/007;;;;Reserve
